tile_count,solar_system_count,education_bachelor,education_college,education_doctoral,education_high_school_graduate,education_less_than_high_school,education_master,education_population,education_professional_school,employed,importance,entropy,heating_factor,gini_index,heating_fuel_coal_coke,heating_fuel_electricity,heating_fuel_fuel_oil_kerosene,heating_fuel_gas,heating_fuel_housing_unit_count,heating_fuel_none,heating_fuel_other,heating_fuel_solar
27,25,251,857,5,551,449,40,2153,0,1563,0.4025,2.4025,73,0.4025,0,73,0,723,838,42,0,0
47,35,1332,1281,45,897,327,252,4198,64,2723,64.4398,66.4398,470,0.4398,0,470,0,1583,2068,15,0,0
42,30,1021,877,84,670,422,369,3606,163,2360,163.4794,165.4794,535,0.4794,0,535,0,1182,1765,48,0,0
9,8,115,287,6,193,130,25,756,0,438,0.4203,2.4203,37,0.4203,0,37,0,229,283,17,0,0
51,40,514,705,32,396,115,245,2068,61,1397,61.3765,63.3765,174,0.3765,0,174,0,789,995,32,0,0
81,68,824,227,181,206,36,582,2404,348,1487,348.4759,350.4759,148,0.4759,0,148,0,1103,1251,0,0,0
23,17,373,803,21,512,412,118,2258,19,1747,19.4242,21.4242,219,0.4242,0,219,0,892,1147,36,0,0
60,50,531,1644,25,888,362,220,3675,5,2680,5.3965,7.3965,598,0.3965,0,598,0,1472,2123,53,0,0
26,25,667,632,33,507,266,258,2429,66,1670,66.4024,68.4024,169,0.4024,0,169,0,1049,1258,40,0,0
14,12,438,595,45,555,505,194,2395,63,1703,63.4443,65.4443,405,0.4443,0,405,0,839,1283,39,0,0
13,8,1091,1488,13,565,631,369,4220,63,3116,63.3915,65.3915,793,0.3915,0,793,0,1524,2368,51,0,0
20,15,452,671,43,233,59,169,1719,92,1184,92.3927,94.3927,279,0.3927,6,279,0,751,1056,20,0,0
29,6,445,617,0,476,295,148,1995,14,1327,14.519,16.519,552,0.519,0,552,0,538,1154,64,0,0
16,5,1507,1851,78,1002,707,490,5710,75,3960,75.4848,77.4848,1798,0.4848,0,1798,0,1603,3517,116,0,0
4,4,902,1067,61,1096,523,146,3814,19,2375,19.471,21.471,674,0.471,0,674,0,1297,2015,44,0,0
42,36,212,887,0,714,1212,55,3121,41,2202,41.4729,43.4729,165,0.4729,0,165,0,865,1263,233,0,0
57,35,1061,1197,61,577,590,294,3820,40,2497,40.4479,42.4479,508,0.4479,8,496,12,1458,2001,27,0,0
54,24,191,331,0,449,821,47,1842,3,1044,3.467,5.467,119,0.467,0,119,0,332,647,196,0,0
1,1,106,602,0,487,785,33,2013,0,1480,0.4482,2.4482,218,0.4482,0,218,0,752,1066,96,0,0
23,19,132,290,19,335,344,72,1220,28,966,28.4497,30.4497,84,0.4497,0,84,0,429,605,92,0,0
15,12,165,716,0,660,787,114,2466,24,1641,24.4885,26.4885,341,0.4885,0,341,0,1099,1530,90,0,0
20,20,775,377,45,182,118,218,1796,81,1232,81.3573,83.3573,129,0.3573,6,129,0,636,806,35,0,0
84,57,1096,1878,31,761,418,357,4597,56,3387,56.4146,58.4146,419,0.4146,0,419,0,1822,2347,106,0,0
52,44,609,1549,26,832,1076,403,4571,76,3709,76.4464,78.4464,274,0.4464,12,274,0,1603,1948,59,0,0
60,45,691,1438,0,1073,1437,249,4913,25,3722,25.3888,27.3888,529,0.3888,9,529,0,1788,2400,74,0,0
41,27,675,1016,14,562,238,296,2838,37,2269,37.4303,39.4303,346,0.4303,0,346,0,1068,1447,33,0,0
93,47,177,841,11,902,1539,61,3551,20,2458,20.3738,22.3738,281,0.3738,20,281,0,832,1337,204,0,0
18,16,221,665,0,533,1277,40,2736,0,1790,0.4668,2.4668,205,0.4668,0,205,0,1074,1364,85,0,0
22,20,182,1027,0,982,1483,152,3826,0,2652,0.3965,2.3965,277,0.3965,8,277,0,1298,1667,84,0,0
61,36,725,1048,4,410,414,167,2779,11,1994,11.3396,13.3396,206,0.3396,0,206,0,1065,1278,0,7,0
19,16,116,724,0,486,977,36,2357,18,1412,18.4195,20.4195,148,0.4195,0,148,0,857,1033,28,0,0
111,94,731,422,159,229,91,452,2277,193,1205,193.5932,195.5932,155,0.5932,29,155,0,973,1157,0,0,0
29,22,654,768,3,463,241,109,2283,45,1673,45.3914,47.3914,296,0.3914,0,296,0,890,1219,33,0,0
21,14,144,404,15,119,147,28,873,16,648,16.4138,18.4138,80,0.4138,3,80,0,388,509,38,0,0
107,82,781,1164,74,959,699,145,3865,43,3041,43.4226,45.4226,757,0.4226,0,757,0,1466,2275,37,0,11
59,46,754,540,112,387,169,331,2362,69,1918,69.3975,71.3975,277,0.3975,0,277,0,954,1244,6,0,7
52,43,657,1047,19,430,208,270,2679,48,1899,48.4581,50.4581,247,0.4581,10,247,0,1244,1501,0,0,0
25,20,499,513,6,311,117,141,1628,41,1134,41.419,43.419,167,0.419,0,167,0,790,957,0,0,0
226,159,873,1811,61,668,143,529,4186,101,2949,101.4146,103.4146,146,0.4146,0,146,0,2114,2312,16,16,11
52,44,1175,1314,76,777,283,353,4036,58,2930,58.4034,60.4034,722,0.4034,11,722,0,1594,2392,51,14,0
101,88,834,1237,54,532,273,441,3524,153,2379,153.3456,155.3456,171,0.3456,0,171,0,1515,1714,19,0,9
79,44,1927,1772,107,859,321,374,5534,174,4598,174.4375,176.4375,1172,0.4375,0,1172,0,2474,3771,125,0,0
121,107,626,1486,26,387,119,306,2955,5,2048,5.2994,7.2994,115,0.2994,8,115,0,1355,1479,0,0,1
73,47,1087,1489,63,793,429,517,4498,120,3028,120.4377,122.4377,766,0.4377,0,766,0,1678,2457,13,0,0
6,5,607,709,0,316,398,100,2139,9,1565,9.3976,11.3976,355,0.3976,0,355,0,849,1212,8,0,0
5,3,561,796,25,463,582,62,2503,14,1876,14.3665,16.3665,407,0.3665,0,407,0,907,1399,85,0,0
234,193,1009,1439,54,586,193,519,3890,90,2722,90.3342,92.3342,188,0.3342,20,188,0,1673,1906,25,0,0
158,130,1088,1303,14,582,205,339,3686,155,2470,155.3709,157.3709,141,0.3709,0,141,0,1734,1902,16,0,11
31,29,173,776,0,1322,1377,124,3789,17,2425,17.321,19.321,317,0.321,29,317,0,651,1178,181,0,0
87,73,469,905,11,260,80,232,2024,67,1429,67.3777,69.3777,166,0.3777,0,166,0,900,1078,12,0,0
37,29,221,723,13,304,204,91,1580,24,939,24.4114,26.4114,117,0.4114,0,117,0,588,715,10,0,0
175,148,1453,1311,72,750,397,611,4837,243,3109,243.4492,245.4492,443,0.4492,0,443,0,1681,2212,88,0,0
233,170,1069,1616,23,927,274,325,4310,76,2892,76.3923,78.3923,371,0.3923,0,371,0,1842,2231,18,0,0
220,158,967,1275,115,601,185,433,3735,159,2589,159.3721,161.3721,206,0.3721,0,206,0,1680,1903,17,0,0
262,211,1373,1542,109,429,217,476,4369,223,2949,223.3467,225.3467,180,0.3467,20,180,0,1944,2181,18,0,19
86,72,1018,780,50,291,286,430,2906,51,1977,51.3689,53.3689,247,0.3689,10,247,0,1098,1363,8,0,0
33,6,18,30,0,0,0,5,53,0,588,0,2,0,,0,0,0,0,0,0,0,0
59,42,221,312,12,84,42,154,987,162,594,162.4291,164.4291,220,0.4291,0,220,0,339,559,0,0,1
45,40,854,1159,64,460,387,222,3271,125,2247,125.4364,127.4364,524,0.4364,0,524,0,1033,1623,66,0,0
20,6,17,66,0,27,12,5,127,0,0,0,2,0,,0,0,0,0,0,0,0,1
57,55,635,1067,47,372,391,363,2922,47,1989,47.3982,49.3982,151,0.3982,51,151,0,1091,1293,0,0,0
41,39,194,567,0,367,744,49,1925,4,1416,4.3956,6.3956,158,0.3956,7,158,0,572,837,96,4,0
61,50,383,442,13,390,382,120,1756,26,1085,26.3722,28.3722,154,0.3722,0,154,0,508,709,30,0,17
61,50,690,646,36,149,36,317,2129,255,1669,255.5577,257.5577,355,0.5577,0,355,0,1016,1421,50,0,0
74,27,570,603,38,521,283,184,2261,62,2255,62.4191,64.4191,262,0.4191,3,262,0,704,1032,63,0,0
161,127,1192,868,210,224,127,691,3405,93,2360,93.4528,95.4528,235,0.4528,0,235,0,1500,1735,0,0,0
75,67,846,728,27,438,79,372,2602,112,1830,112.3608,114.3608,180,0.3608,0,180,0,1190,1402,25,0,7
17,14,756,892,25,373,109,278,2489,56,2299,56.4411,58.4411,747,0.4411,25,747,0,957,1758,29,0,0
76,70,757,994,7,353,164,335,2640,30,2140,30.3878,32.3878,485,0.3878,0,485,0,1148,1648,11,0,4
35,25,1014,993,80,591,358,414,3529,79,2495,79.3961,81.3961,298,0.3961,0,298,0,1498,1869,73,0,0
49,42,244,603,0,660,665,106,2327,49,1685,49.4331,51.4331,233,0.4331,0,233,0,703,1021,58,0,1
19,16,380,645,11,560,1012,94,2711,9,1883,9.4616,11.4616,274,0.4616,0,274,0,1082,1402,46,0,0
8,8,255,523,9,456,1157,14,2414,0,1386,0.4569,2.4569,179,0.4569,0,179,0,957,1200,64,0,0
10,10,610,1016,10,541,707,147,3058,27,2607,27.4247,29.4247,453,0.4247,0,453,0,1414,1981,114,0,0
17,11,997,1372,115,911,251,324,4029,59,3169,59.4524,61.4524,1454,0.4524,0,1454,0,1042,2574,78,0,0
14,11,211,698,0,478,1010,36,2464,31,1710,31.431,33.431,248,0.431,0,248,0,823,1191,120,0,1
8,7,232,594,0,666,1284,20,2818,22,1919,22.4328,24.4328,273,0.4328,0,273,0,798,1227,156,0,0
20,16,216,711,0,440,1304,52,2744,21,2000,21.4456,23.4456,425,0.4456,0,425,0,827,1383,131,0,0
318,247,1473,1423,45,611,199,257,4084,76,3070,76.3812,78.3812,329,0.3812,8,329,0,1580,1950,15,0,11
105,72,324,895,11,674,141,128,2184,11,1703,11.4003,13.4003,240,0.4003,9,240,0,863,1112,0,0,0
17,13,64,191,0,184,87,4,541,11,314,11.3355,13.3355,23,0.3355,0,23,0,180,203,0,0,0
28,11,184,563,0,598,1638,26,3021,12,2119,12.3691,14.3691,363,0.3691,0,363,0,754,1263,146,0,0
2,2,120,328,0,310,1320,17,2105,10,1605,10.3865,12.3865,304,0.3865,0,304,0,601,1034,129,0,0
485,324,1238,1423,31,476,215,359,3937,195,2861,195.3365,197.3365,294,0.3365,7,294,0,1490,1800,0,0,1
7,6,0,6,0,5,12,0,23,0,19,0.2874,2.2874,5,0.2874,0,5,0,8,17,4,0,0
175,134,344,716,5,525,164,99,1899,46,1523,46.339,48.339,61,0.339,0,61,0,806,872,5,0,0
1,1,76,251,9,224,658,15,1233,0,795,0.4367,2.4367,146,0.4367,0,146,0,436,650,63,0,5
7,6,262,590,18,711,1169,79,2846,17,2094,17.4265,19.4265,357,0.4265,0,357,0,959,1543,227,0,0
3,2,181,437,6,338,763,39,1789,25,1103,25.4505,27.4505,548,0.4505,0,548,0,495,1230,187,0,0
124,106,791,764,40,211,78,280,2213,49,1801,49.3849,51.3849,189,0.3849,0,189,0,947,1136,0,0,0
2,2,380,470,0,349,611,169,2046,67,1507,67.4625,69.4625,401,0.4625,7,401,0,833,1349,108,0,0
2,2,648,1378,34,671,509,506,3783,37,2326,37.5443,39.5443,1270,0.5443,0,1270,0,1316,2766,153,27,0
127,107,1903,1486,197,576,98,747,5357,350,3551,350.4473,352.4473,440,0.4473,0,440,0,2441,2954,33,0,40
36,26,1445,1241,171,530,210,839,4578,142,3285,142.479,144.479,1919,0.479,0,1919,0,1049,3152,126,58,0
11,8,182,312,0,670,1296,0,2464,4,1775,4.3898,6.3898,153,0.3898,0,153,0,822,1080,105,0,0
22,13,812,998,0,753,1078,158,3912,113,2611,113.5349,115.5349,1174,0.5349,0,1174,0,1340,2882,368,0,1
15,9,445,947,19,565,750,186,2945,33,2170,33.4942,35.4942,760,0.4942,0,760,0,764,1659,135,0,0
5,4,172,667,0,481,927,93,2340,0,1683,0.3557,2.3557,319,0.3557,0,319,0,709,1187,159,0,11
39,35,590,662,52,398,698,196,2636,40,2007,40.452,42.452,211,0.452,0,211,0,944,1266,111,0,0
19,18,367,871,0,555,926,65,2864,80,2285,80.3653,82.3653,412,0.3653,0,412,0,824,1390,154,0,0
37,32,373,432,21,303,372,151,1681,29,1095,29.3727,31.3727,230,0.3727,0,230,0,521,779,23,0,5
10,7,42,614,0,595,1212,22,2485,0,1767,0.3403,2.3403,253,0.3403,0,253,0,767,1198,178,0,0
11,8,145,619,5,574,1415,22,2780,0,1835,0.364,2.364,312,0.364,0,312,0,859,1272,101,0,1
5,5,113,789,0,619,1287,41,2849,0,1845,0.441,2.441,294,0.441,0,294,0,994,1413,125,0,0
31,27,404,787,22,644,1007,86,2950,0,1948,0.4648,2.4648,292,0.4648,0,292,0,635,1173,246,0,0
35,33,457,572,5,477,342,142,2038,43,1608,43.4538,45.4538,183,0.4538,0,183,0,766,996,40,0,7
65,55,668,734,38,431,476,235,2623,41,1698,41.5657,43.5657,396,0.5657,8,396,0,833,1282,45,0,0
7,4,425,751,12,838,465,210,2716,15,2138,15.3866,17.3866,386,0.3866,16,386,0,1284,1833,147,0,0
16,16,439,667,6,537,607,90,2352,6,1664,6.3924,8.3924,229,0.3924,0,229,0,676,1011,93,13,0
6,4,958,1369,51,770,217,360,3859,134,3304,134.4744,136.4744,809,0.4744,0,809,0,1642,2816,355,10,0
6,4,1204,1207,75,323,109,522,3681,241,2663,241.4339,243.4339,886,0.4339,0,886,0,1678,2647,83,0,1
21,21,358,365,9,473,445,57,1719,12,1192,12.45,14.45,228,0.45,0,228,0,436,765,101,0,0
19,18,532,441,0,304,492,61,1886,56,1368,56.518,58.518,155,0.518,0,151,4,671,912,86,0,0
16,13,1045,1113,143,345,138,453,3377,140,2412,140.418,142.418,868,0.418,0,868,0,1161,2184,155,0,0
40,33,267,505,5,346,467,80,1675,5,1226,5.3785,7.3785,219,0.3785,0,219,0,513,764,32,0,0
19,16,309,484,6,431,1003,83,2367,51,1597,51.4828,53.4828,245,0.4828,23,245,0,681,1107,158,0,0
2,2,273,355,2,698,1234,10,2576,4,1978,4.3526,6.3526,219,0.3526,0,219,0,719,1021,83,0,0
19,10,167,457,10,473,1010,118,2249,14,1504,14.425,16.425,211,0.425,0,211,0,580,961,170,0,0
13,12,320,474,15,467,626,74,1980,4,1568,4.4235,6.4235,205,0.4235,0,205,0,569,934,160,0,0
11,7,353,537,11,492,1096,134,2642,19,2223,19.4005,21.4005,375,0.4005,0,375,0,721,1297,201,0,0
33,30,469,449,26,440,616,190,2244,54,1618,54.4106,56.4106,226,0.4106,0,226,0,819,1083,38,0,0
5,4,396,322,0,640,1252,168,2804,26,2137,26.4179,28.4179,415,0.4179,0,415,0,542,1280,323,0,0
8,7,137,428,0,746,1006,59,2382,6,1564,6.4212,8.4212,380,0.4212,0,380,0,438,1037,219,0,0
59,53,1706,1546,142,824,186,622,5149,123,4287,123.4378,125.4378,1054,0.4378,0,1054,0,2351,3491,86,0,0
56,36,455,418,23,205,74,210,1484,99,1193,99.4327,101.4327,167,0.4327,0,167,0,697,869,0,0,5
47,38,469,1215,5,657,1755,149,4270,20,3408,20.4495,22.4495,468,0.4495,0,468,0,1459,1937,10,0,0
355,274,1355,953,105,393,164,656,3759,133,2757,133.3581,135.3581,146,0.3581,0,146,0,1594,1758,0,0,18
36,32,1658,1365,182,422,180,631,4709,271,3792,271.4393,273.4393,1068,0.4393,0,1068,0,2044,3249,137,0,0
441,309,1344,1094,163,649,170,664,4297,213,3397,213.4123,215.4123,270,0.4123,0,270,0,1910,2214,17,0,17
24,20,1569,1298,96,384,102,948,4578,181,3585,181.4472,183.4472,763,0.4472,0,763,0,2256,3119,88,0,12
33,29,883,486,93,244,108,409,2420,197,1886,197.4943,199.4943,224,0.4943,0,224,0,1229,1568,102,13,0
72,60,333,896,11,1005,1086,134,3509,44,2373,44.4016,46.4016,187,0.4016,0,187,0,994,1198,8,0,9
13,12,371,288,43,242,46,97,1212,125,913,125.5998,127.5998,182,0.5998,0,182,0,544,737,11,0,0
112,89,1037,710,153,356,68,381,2854,149,1583,149.4651,151.4651,600,0.4651,0,600,0,1060,1687,27,0,0
127,110,2293,1851,192,292,123,1120,6170,299,4132,299.4614,301.4614,872,0.4614,0,872,0,2820,3710,18,0,0
4,3,353,320,70,80,48,175,1124,78,771,78.4179,80.4179,476,0.4179,0,476,0,260,741,5,0,0
40,35,273,1139,0,1313,1380,69,4256,82,2839,82.434,84.434,233,0.434,0,233,0,952,1335,143,0,7
114,91,872,1173,44,910,635,232,3954,88,2981,88.4356,90.4356,701,0.4356,0,694,7,1186,1974,87,0,0
76,68,1268,1101,113,593,1148,527,4884,134,3064,134.505,136.505,360,0.505,0,360,0,1631,2149,145,0,13
64,55,380,792,25,999,694,97,3089,102,2299,102.3761,104.3761,324,0.3761,0,324,0,931,1296,41,0,0
56,47,417,525,46,483,829,395,2777,82,2221,82.5677,84.5677,310,0.5677,0,310,0,999,1370,61,0,0
21,16,285,270,4,452,1017,32,2091,31,1494,31.4063,33.4063,173,0.4063,0,173,0,601,930,156,0,0
39,35,427,368,41,210,181,127,1441,87,892,87.5355,89.5355,91,0.5355,0,91,0,543,677,43,0,0
21,19,90,400,0,591,919,18,2047,29,1392,29.3946,31.3946,126,0.3946,0,126,0,541,777,110,0,0
13,13,89,224,0,404,1070,57,1844,0,1195,0.4254,2.4254,153,0.4254,8,153,0,568,862,133,0,0
65,53,602,1691,48,1713,1572,111,5788,51,3825,51.4506,53.4506,653,0.4506,0,653,0,1522,2471,296,0,0
83,65,584,1418,10,705,267,221,3248,43,2642,43.3187,45.3187,168,0.3187,0,168,0,1333,1541,23,0,17
85,48,688,1162,29,425,177,224,2705,0,1989,0.3085,2.3085,87,0.3085,0,87,0,1249,1336,0,0,0
0,0,288,176,75,38,12,138,773,46,2364,46.6527,48.6527,525,0.6527,0,525,0,734,1442,183,0,0
1,1,802,274,137,33,22,350,1775,157,1918,157.6981,159.6981,845,0.6981,0,845,0,840,1787,102,0,0
89,80,1141,845,26,726,380,347,3542,77,2259,77.4332,79.4332,248,0.4332,0,239,9,1501,1782,25,0,8
5,4,123,729,9,692,1743,83,3390,11,2127,11.4102,13.4102,474,0.4102,0,464,10,710,1505,321,0,0
19,17,848,550,29,406,426,102,2390,29,1553,29.4101,31.4101,538,0.4101,0,538,0,582,1154,34,0,0
25,17,376,384,0,243,223,110,1402,66,1081,66.4109,68.4109,159,0.4109,0,159,0,509,699,31,0,0
43,36,651,517,0,411,204,307,2125,35,1500,35.482,37.482,152,0.482,0,152,0,853,1038,33,0,0
10,10,217,504,0,350,742,93,1927,21,1502,21.4893,23.4893,196,0.4893,0,196,0,628,914,90,0,0
66,56,884,1029,17,673,649,209,3566,105,2450,105.4576,107.4576,413,0.4576,0,413,0,1167,1697,117,0,0
243,208,1502,2734,76,735,321,533,5933,32,4482,32.4407,34.4407,352,0.4407,0,352,0,2720,3137,65,0,0
25,21,1074,557,123,202,235,442,2775,142,2265,142.3898,144.3898,455,0.3898,0,455,0,1197,1770,118,0,0
5,4,156,408,10,605,1405,39,2623,0,2267,0.3517,2.3517,477,0.3517,0,477,0,588,1119,54,0,0
19,16,214,662,14,404,720,78,2098,6,1505,6.4203,8.4203,120,0.4203,0,120,0,664,856,72,0,0
16,13,241,284,0,380,703,71,1695,16,1310,16.4434,18.4434,149,0.4434,0,149,0,527,753,77,0,0
112,84,1690,1258,382,361,286,772,5169,420,3901,420.5526,422.5526,553,0.5526,0,553,0,2409,3021,59,0,0
21,19,492,676,4,730,400,253,2642,87,1781,87.46,89.46,160,0.46,0,160,0,1011,1209,38,0,0
8,7,209,383,12,347,664,77,1729,37,1197,37.4737,39.4737,252,0.4737,0,247,5,526,886,108,0,0
27,24,334,214,80,58,17,230,1071,138,700,138.5607,140.5607,90,0.5607,0,90,0,513,617,9,0,5
31,26,1055,759,98,233,23,355,2717,194,2052,194.4996,196.4996,298,0.4996,0,298,0,1148,1471,25,0,0
21,21,477,165,65,32,78,278,1369,274,1049,274.5367,276.5367,103,0.5367,0,103,0,664,770,3,0,0
5,4,145,226,0,347,859,22,1616,17,1017,17.4225,19.4225,208,0.4225,0,205,3,347,772,217,0,0
141,111,585,439,114,190,45,448,2003,182,1361,182.3667,184.3667,163,0.3667,0,163,0,789,952,0,0,0
27,21,651,919,33,194,318,121,2236,0,1503,0.4125,2.4125,343,0.4125,0,343,0,738,1127,46,0,0
80,29,594,619,0,614,492,134,2474,21,1626,21.4307,23.4307,291,0.4307,0,291,0,779,1154,84,0,0
23,18,255,473,5,323,704,79,1839,0,1315,0.4292,2.4292,212,0.4292,0,212,0,653,888,18,0,5
77,51,984,579,55,259,187,333,2488,91,1925,91.4795,93.4795,328,0.4795,0,328,0,1089,1417,0,0,0
46,16,101,375,8,468,1127,8,2087,0,1467,0.4172,2.4172,245,0.4172,0,245,0,583,986,154,4,0
4,4,201,149,0,321,279,86,1036,0,991,0.6019,2.6019,399,0.6019,6,399,0,312,887,170,0,0
16,15,54,349,0,507,828,7,1745,0,1582,0.4097,2.4097,328,0.4097,0,328,0,335,718,55,0,0
101,87,611,849,6,885,923,99,3377,4,2249,4.3629,6.3629,209,0.3629,0,209,0,975,1238,54,0,0
40,29,1141,740,38,303,57,477,2879,123,2409,123.3724,125.3724,555,0.3724,7,548,7,1283,1890,45,0,0
55,47,642,477,60,268,22,349,1974,156,1263,156.5452,158.5452,235,0.5452,0,235,0,845,1106,26,0,0
31,27,941,907,6,534,260,258,3046,140,2076,140.3396,142.3396,366,0.3396,0,366,0,1004,1392,22,0,0
75,62,295,454,17,377,122,150,1444,29,761,29.4016,31.4016,179,0.4016,0,179,0,556,758,16,0,7
132,83,742,700,99,248,136,520,2617,172,1952,172.3725,174.3725,175,0.3725,4,175,0,1112,1291,0,0,0
12,4,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0
12,11,896,540,9,183,244,216,2180,92,1369,92.4916,94.4916,435,0.4916,0,435,0,952,1405,18,0,0
32,27,1059,526,56,146,68,527,2621,239,2100,239.565,241.565,504,0.565,0,504,0,1352,1920,64,0,0
50,25,281,206,0,625,1005,28,2145,0,1730,0.4466,2.4466,371,0.4466,0,371,0,555,1037,111,0,0
77,64,363,1029,15,695,1681,74,3857,0,2807,0.3983,2.3983,332,0.3983,0,332,0,1139,1545,74,0,0
5,5,1040,410,23,455,326,332,2742,156,2035,156.5119,158.5119,681,0.5119,0,681,0,1142,1927,104,0,0
64,47,869,421,49,207,97,322,2150,185,1316,185.4777,187.4777,249,0.4777,6,239,10,863,1183,40,0,25
41,30,262,599,0,1239,1936,56,4092,0,2812,0.4141,2.4141,567,0.4141,0,567,0,964,1807,269,7,0
30,26,674,743,53,573,1037,198,3280,2,2221,2.5252,4.5252,196,0.5252,0,196,0,1362,1670,99,9,4
14,11,207,523,8,590,992,32,2360,8,1904,8.4158,10.4158,306,0.4158,0,306,0,715,1219,173,25,0
104,90,1337,1033,379,586,206,782,4567,244,3179,244.3795,246.3795,340,0.3795,0,340,0,1926,2266,0,0,0
81,63,1079,620,71,316,88,469,2842,199,2292,199.5782,201.5782,826,0.5782,0,826,0,1054,1894,0,0,14
34,28,725,331,48,125,24,357,1678,68,1277,68.5703,70.5703,476,0.5703,0,476,0,713,1246,48,0,9
3,3,604,768,24,698,579,182,2928,73,1934,73.4632,75.4632,1010,0.4632,0,1010,0,650,1734,74,0,0
48,41,1442,807,120,422,163,355,3490,181,2784,181.5873,183.5873,732,0.5873,0,732,0,1508,2347,107,0,0
17,12,2037,1135,73,480,259,617,4716,115,3886,115.4409,117.4409,1052,0.4409,0,1052,0,2046,3197,99,0,0
0,0,635,659,17,192,86,189,1830,52,1501,52.4951,54.4951,978,0.4951,0,978,0,326,1426,122,0,0
3,2,944,523,0,232,59,200,2003,45,1521,45.4463,47.4463,701,0.4463,0,701,0,754,1518,63,0,0
9,9,542,620,6,195,96,312,1885,114,1496,114.4425,116.4425,812,0.4425,0,812,0,579,1447,50,6,0
21,12,1278,1034,0,520,261,435,3675,147,3157,147.4652,149.4652,1190,0.4652,0,1190,0,1419,2726,103,14,0
4,4,423,420,11,387,374,104,1719,0,1386,0.479,2.479,800,0.479,0,800,0,434,1363,129,0,0
13,7,987,734,0,239,175,195,2436,106,1747,106.4837,108.4837,1131,0.4837,0,1131,0,869,2119,95,10,14
11,10,1223,1283,38,812,576,146,4170,92,3309,92.4465,94.4465,955,0.4465,0,931,24,1463,2534,116,0,0
0,0,1113,691,81,585,242,269,3026,45,1892,45.4812,47.4812,578,0.4812,0,578,0,1151,1816,87,0,0
3,3,560,657,34,380,175,145,2002,51,1268,51.5153,53.5153,546,0.5153,11,546,0,625,1271,80,0,9
53,43,878,1365,41,879,397,306,3939,73,2764,73.4229,75.4229,446,0.4229,0,446,0,1691,2195,41,17,0
15,14,792,826,0,725,808,309,3470,10,2588,10.5063,12.5063,617,0.5063,6,617,0,1083,1753,47,0,0
5,2,670,691,19,938,627,134,3087,8,2013,8.466,10.466,669,0.466,0,669,0,899,1639,71,0,0
